_id,name,bID,address,tel,category,mainMn,price,menu,opngTm,rating,rvwCnt,img,tags
139,완쌀국수포완,,서울시 성동구 행당동 290-10,02-2294-8666,베트남 음식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 21:00,3.7,21,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/549710_1492684746085816.jpg,"베트남, 누들, 라이스,넴, 남동부"
140,이도곰탕,,서울시 강남구 역삼동 671-17,02-569-0524,탕 / 찌개 / 전골,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월: 10:00 - 24:00 화-토: 00:00 - 24:00 일: 00:00 - 21:00 ,4.3,102,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/179982_1442588814870.jpg,"곰탕, 수프, 아이도, 라이스, 클리어"
141,명인등심,,서울시 강남구 신사동 587-14,02-3446-5544,고기 요리,한우특등심,42000,"한우특등심:42,000원//한우육회:35,000원//된장죽:6,000원//후식냉면:5,000원/",월-금: 11:30 - 22:30 토-일: 11:30 - 22:00,4.3,11,https://mp-seoul-image-production-s3.mangoplate.com/192808/sx-jyux3dbjqjo.jpg,"경적, 실로인, 확장, 뷰, 매치"
142,만두전빵,,서울시 성동구 행당동 317-72,02-2292-6882,기타 한식,만두전골(2인),"16,000원","만두전골(2인):16,000원//만두전골(3인):24,000원//녹두전:6,000원//코다리비빔냉면:7,000원//열무물냉면:7,000원//",11:00 - 21:30,4.3,24,https://mp-seoul-image-production-s3.mangoplate.com/189039/22522_1419516309322,"만두, 덤플링, 김치, 도자기, 만두전"
143,마루심,,서울시 마포구 용강동 51-3 성진빌딩 1F,02-711-1378,돈부리 / 일본 카레 / 벤토,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 22:00,4.3,21,https://mp-seoul-image-production-s3.mangoplate.com/793119_1579669878652019.jpg,"히투마부시, 엘, 엘스, 마포, 일본"
144,와하카,,서울시 성동구 성수동2가 299-225,02-462-7292,남미 음식,BURRITO(medium size),7000,"부리또:7,000원//엔칠라다:11,000원//치미창가:14,000원//타코:6,000원//칠리 치즈 프라이:10,500원/",화-금: 11:30 - 23:00 토: 12:00 - 23:00 일: 12:00 - 22:00,4.5,119,https://mp-seoul-image-production-s3.mangoplate.com/246119/10189_1471967688998_29631,"치미창가, 멕시코, 엥칠라다, 타코, 와하카"
145,닭꼬얌,,서울시 마포구 서교동 361-3,02-322-3331,한정식 / 백반 / 정통 한식,업데이트 준비중입니다.,"18,000원","닭쌈:18,000원//불고기닭쌈:18,000원//고추장바베큐:18,000원//닭쌈밥:6,000원//불고기닭쌈밥:6,000원//",11:30 - 24:00,4.3,55,https://mp-seoul-image-production-s3.mangoplate.com/239088/26737_1454578524201_11740,"불고기, 치킨, 삼밥, 원, 카우스틱"
146,헬로인디아,,서울시 마포구 연남동 566-51,02-336-8425,인도 음식,탄두리 치킨,"20,000원","탄두리 치킨:20,000원//치킨 마카니(버터치킨):15,000원//믹스베지터블:10,000원//양고기커리:15,000원//",11:00 - 22:00,4.3,34,https://mp-seoul-image-production-s3.mangoplate.com/(null)_1438062508575,"카레, 인도, 치킨, 탄두리, 연남"
147,장화신은고양이,,서울시 마포구 망원동 57-39,02-333-2825,프랑스 음식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 18:00 - 24:00 토: 12:30 - 24:00,4.2,13,https://mp-seoul-image-production-s3.mangoplate.com/332941_1514128261528678.jpg,"오리, 고양이, 장화, 스테이크, 사진"
148,25T,,서울시 강남구 삼성동 8-2,02-547-3176,철판 요리,A코스,60000,"A코스:60,000원//B코스:78,000원//런치:10,000원/",월-금: 11:30 - 23:00 토: 18:00 - 23:00,4.3,20,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/397170_1462201188855255.jpg,"25t, 철, 접시, 식용, 조용히"
149,엘리스리틀이태리,,서울시 마포구 공덕동 476 201동 1F,02-712-1210,이탈리안,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,4.6,31,https://mp-seoul-image-production-s3.mangoplate.com/467077_1587660803317727.jpg,"피자, 공덕, 파스타, 앨리스, 이탈리아"
150,비너발트,,서울시 성북구 하월곡동 37-18,02-919-8848,기타 양식,비너발트소시지,"20,000원","비너발트소시지:20,000원//뉴른베르거소시지:18,000원//비너발트 슈바인스 학세:29,000원//",업데이트 준비중입니다.,3.5,8,https://mp-seoul-image-production-s3.mangoplate.com/193185/75402_142794098272531153125,"월곡, 소시지, 학센, 챔피언쉽, 스펙터클"
151,다로베,,서울시 성동구 성수동1가 668-3,02-499-3666,이탈리안,CALZONE,23000,"CALZONE:23,000원//DAROBE:25,000원//MARGHERITA BUFFALA:19,500원//MARINARA:16,000원//PORCINI CREMA:23,000원/",12:00 - 22:00  ,4.5,215,https://mp-seoul-image-production-s3.mangoplate.com/331354/555732_1533224838952_50391,"피자, 비스마르크, 타로베, 다로베, 파스타"
152,멜로워커피,,서울시 성동구 성수동2가 333-94,02-499-1112,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,"








",3.9,33,https://mp-seoul-image-production-s3.mangoplate.com/21015_1496751218944123.jpg,"널찍하고, 마들렌, 카페, 성수, 베이커리"
153,소소하게,,서울시 성동구 성수동1가 104,02-465-5554,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,화-토: 12:00 - 21:00 일: 12:00 - 20:00,4.3,39,https://mp-seoul-image-production-s3.mangoplate.com/325122/olv1dod19ia-bb.jpg,"케이크, 눈, 다쿠아즈, 쌀, 케이크"
154,샤뽀블랑,,서울시 성북구 성북동 161-14,02-741-6763,베이커리,보들보들 앙버터,"3,000원","보들보들 앙버터:3,000원//브라우니:2,500원//어니언킹:4,500원//쇼콜라 케이크:38,000원//크림치즈 케이크:38,000원//",08:30 - 23:00,4,15,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/335333_1454742478864.jpg,"타르트, 베이커리, 성북, 바게트, 빵"
155,제스티살룬,,서울시 성동구 성수동1가 685-424 2F,02-2205-2622,브런치 / 버거 / 샌드위치,Zesty garlic burger,"9,300원","Zesty garlic burger:9,300원//Wasabi shrimp burger:10,300원//American cheese burger:8,300원//Chipotle chilli burger:9,300원//Basic fries:3,300원//",월요일 휴무,3.7,39,https://mp-seoul-image-production-s3.mangoplate.com/59540_1598780539713327.jpg,"버거, 샴프, 버거, 와사비, 자"
156,콴안다오,,서울시 강남구 신사동 516-2 1F,02-512-1651,베트남 음식,호띠우,7500,"호띠우:7,500원//분깐조:10,500원//껌징능주:9,500원//짜조:6,000원//반미:7,000원/",11:00 - 22:00,4.7,155,https://mp-seoul-image-production-s3.mangoplate.com/324571/40403_1515383998718_13023,"민치, 누들, 라이스, 비에트나메세"
157,키노키친,,서울시 마포구 서교동 337-1 1F 1호,070-4467-3377,이탈리안,키노버섯파스타,"15,000원","키노버섯파스타:15,000원//키노야채파스타:15,000원//잣리조또:18,000원//랍스터토마토리조또:18,000원//","





",4.3,8,https://mp-seoul-image-production-s3.mangoplate.com/259634_1580722969459091.jpg,"키노키친, 아자, 핵, 파스타, 키노"
158,스시토로,,서울시 성북구 안암동5가 101-15,02-929-3538,회 / 스시,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,10:30 - 23:30,3.7,15,https://mp-seoul-image-production-s3.mangoplate.com/764496_1493485056212003.jpg,"초밥, 살몬, 사시미, 신토바, 일본어"
159,오레노라멘,,서울시 마포구 합정동 361-1,02-322-3539,라멘 / 소바 / 우동,토리빠이탄,9000,"토리빠이탄:9,000원//토리쇼유:9,000원//시오라멘:9,000원//카라빠이탄:9,000원/",11:30 - 21:00,4.6,435,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/460278_1491386783474508.jpg,"라면, 치킨, 토리, 오레노라멘, 수프"
160,손오공 마라탕,,서울시 마포구 동교동 169-14 2F,02-780-8686,기타 중식,마라탕 100그람,"1,600원","마라탕 100그람:1,600원//마라상궈 100그람:3,000원//꿔바로우:9,900원//마라반 100그람:2,000원//쏸라펀:6,000원//",11:00 - 23:00,4.3,55,https://mp-seoul-image-production-s3.mangoplate.com/45934_1510142229258353.jpg,"마라탕, 아들, 마라창우오, 홍대, 맛있다."
161,더허브,,서울시 성북구 안암동5가 103-28,02-923-7767,칵테일 / 와인,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,3.9,15,https://mp-seoul-image-production-s3.mangoplate.com/41531/1003488_1523624301811_25273,"아남, 칵테일, 칵테일, 대기, 바"
162,카카오다다,,서울시 마포구 망원동 496,02-3446-7007,카페 / 디저트,마시는카카오 hot/ice,"6,000원","마시는카카오 hot/ice:6,000원//싱글오리진 빈투바 초콜릿_Weekly size:14,000원//투뿔브라우니(초콜릿브라우니):5,000원//생초콜릿케이크(밀가루x):6,000원//싱글오리진 빈투바 초콜릿_Daily size:4,500원//",11:30 - 20:30,4.4,42,https://mp-seoul-image-production-s3.mangoplate.com/268683/242164_1490563538922_242164_1486291174192_109344,"초콜릿, 브라우니, 카카오, 카카오, 브라우니"
163,오스틴,,서울시 강남구 역삼동 617-3 B1,02-566-5324,스테이크 / 바베큐,풀드포크 플래터,14900,"풀드포크 플래터:14,900원//브리스킷 플래터:21,900원//배이비 백 립 플래터:26,900원//플래터(2인용):28,900원/",12:00 - 23:00,4.3,175,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/8184_1487862589002630.jpg,"바베큐, 접시, 고기, 텍사스, 좋은"
164,구을가,,서울시 강남구 삼성동 34-19,02-2156-5780,고기 요리,1F 점심 (++한우 비빔밥),"12,000원","1F 점심 (++한우 비빔밥):12,000원//2F 점심 (++한우 안심 반상):39,000원//1F 저녁 (한우 반상 SET):55,000원//2F 저녁 단품 (++한우 안심):46,000원//",11:30 - 22:00,4.4,7,https://mp-seoul-image-production-s3.mangoplate.com/59110_1599229064128263.jpg,"엑클로니아, 카바, 서빙, 플로어, 아버지"
165,보트르메종,,서울시 강남구 청담동 3 청담스퀘어 2F 224호,02-549-3800,프랑스 음식,런치 시그니처코스,65000,"런치 시그니처코스:65,000원//디너 시그니처코스:150,000원/",15:00 - 18:00,4.6,35,https://mp-seoul-image-production-s3.mangoplate.com/226358/444936_1467469964568_104037,"할스라디쉬, 미켈린, 로즈마리, 생년월일, 프랑스"
166,진진가연,,서울시 마포구 서교동 375-35,02-332-9866,정통 중식 / 일반 중식,멘보샤(회원가),"14,000원","멘보샤(회원가):14,000원//칭찡우럭(회원가):30,000원//깐풍기(회원가):17,600원//",12:00 - 21:00,4.4,9,https://mp-seoul-image-production-s3.mangoplate.com/1737839_1598613149613214.jpg,"진진, 멘보샤, 찬폰, 졸업, 쉬림프"
167,17도씨,,서울시 마포구 연남동 257-21 1F,02-337-1706,카페 / 디저트,초콜릿 봉봉,2500,"초콜릿 봉봉:2,500원//아메리카노:5,000원//17도씨 초코 빙수:15,000원//수박 초콜릿 음료:7,500원//수제 초콜릿 (1pc):2,500원/",11:00 - 22:00,4.3,104,https://mp-seoul-image-production-s3.mangoplate.com/190403_1443417458557,"초콜릿, 아이스, 달콤, 연남, 학위"
168,미미면가,,서울시 강남구 신사동 512-21,070-7543-5466,라멘 / 소바 / 우동,고등어구이 온소바,"18,000원","고등어구이 온소바:18,000원//성게알 소바:18,000원//냉/온소바:9,000원//새우튀김 소바:11,000원//가지튀김 소바:11,000원//",월-금: 11:30 - 21:30 토-일: 11:30 - 20:30,4.4,35,https://mp-seoul-image-production-s3.mangoplate.com/61216_1600045680637911.jpg,"소바, 미미, 면, 스토어, 벅휘트"
169,우드앤브릭,,서울시 성북구 성북동 97-21,02-741-1171,베이커리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,"

                      식당 홈페이지로 가기
                    
",3.8,7,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/40403_1443872311111.jpg,"빵, 벽돌, 목재, 성북, 카페"
170,텐동식당,,서울시 성동구 성수동2가 315-29 1F,02-6339-0309,돈부리 / 일본 카레 / 벤토,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,"





",3.7,14,https://mp-seoul-image-production-s3.mangoplate.com/1723486_1598105251731571.jpg,"텐동, 온센타마고, 튀기고, 튀기고, 식당"
171,골드피쉬딤섬퀴진,,서울시 강남구 신사동 657-5 투구빌딩 2F,02-511-5266,딤섬 / 만두,소룡포 (4pcs),8700,"소룡포 (4pcs):8,700원//구채교 (3pcs):8,700원//쇼마이 (3pcs):8,500원//마라우육면:14,000원//무떡볶음:12,000원/",12:00 - 22:00,4.3,229,https://mp-seoul-image-production-s3.mangoplate.com/910/810572_1540530890703_81737,"딤,섬, 샴,복, 하가"
172,카밀로라자네리아,,서울시 마포구 서교동 382-13,02-332-8622,이탈리안,에밀리아나 라자냐,15000,"에밀리아나 라자냐:15,000원//뽈로 라자냐:16,000원//마레 라자냐:17,000원//뜨리빠와 피칸테 파스타:19,000원//새우와 마늘쫑 쵸리조오일 파스타:18,000원/",11:45 - 21:30,4.5,205,https://mp-seoul-image-production-s3.mangoplate.com/33537_1507709052817669.jpg,"라자냐, 라자냐, 카밀로, 파스타, 맛있는"
173,하하,,서울시 마포구 연남동 229-12,02-337-0211,기타 중식,군만두,6000,"군만두:6,000원//새우볶음밥:6,000원//칠리새우:20,000원//가지볶음:15,000원/",11:30 - 21:40,4.2,165,https://mp-seoul-image-production-s3.mangoplate.com/47869/reviews/80e9c6e3025a.jpg,"가지, 튀김, 덩굴, 하하, 맛있는"
174,원스인어블루문,,서울시 강남구 청담동 85-1,02-549-5490,칵테일 / 와인,코스 A,85000,"코스 A:85,000원//코스 B:55,000원//엘라 핏츠제랄드:23,000원//웨스 몽고메리:23,000원//프레쉬 레몬 스쿼시:23,000원/",18:00 - 24:00,4.5,79,https://mp-seoul-image-production-s3.mangoplate.com/54011_1493646287215427.jpg,"재즈, 음악, 라이브, 리스턴, 굿"
175,계고기집,,서울시 마포구 염리동 157-8,02-717-7624,닭 / 오리 요리,소금숯불계고기,"12,000원","소금숯불계고기:12,000원//양념숯불계고기:13,000원//무뼈닭발:11,000원//닭똥집구이:10,000원//",18:00 - 24:00,4.3,17,https://mp-seoul-image-production-s3.mangoplate.com/252175/510078_1459251621160_85803,"립스, 치킨, 소금, 로스트,200504"
176,야사이마끼쿠이신보,,서울시 강남구 신사동 539-1,010-9498-9215,이자카야 / 오뎅 / 꼬치,돼지고기 샤브샤브,"17,800원","돼지고기 샤브샤브:17,800원//돼지고기 세이로무시:17,800원//치킨난방:12,500원//멘치카츠:9,800원//햄카츠:8,500원//",월-목: 17:30 - 01:00 금-토: 17:30 - 02:00,4.5,16,https://mp-seoul-image-production-s3.mangoplate.com/460278_1596370132396178.jpg,"구이, 신보, 야사이, 마키, 레추체"
177,테일러커피,,서울시 마포구 서교동 327-8,02-332-0355,카페 / 디저트,아메리카노,5500,"아메리카노:5,500원/",11:30 - 23:00,4.3,71,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/132097_1491395742857140.jpg,"모카, 커피, 테일러, 크림, 맛있는"
178,스시타츠,,서울시 강남구 논현동 8-6 청림빌딩 1F,02-514-3336,정통 일식 / 일반 일식,런치 스시,120000,"런치 스시:120,000원//디너 오마카세:250,000원/",12:00 - 22:00,4.3,29,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/47502_1458018512826069.jpg,"초밥, 스시야, 점심, 스시타쓰, 오마카세"
179,푸줏간생고기점,,서울시 성동구 행당동 292-54,02-749-7361,고기 요리,생삼겹살 (200g) ,15000,"생삼겹살 (200g) :15,000원//생목살 (200g):15,000원//항정살 (200g):15,000원//한우등심 (200g):35,000원//한우차돌박이 (200g):25,000원/",14:00 - 24:00,4.3,49,https://mp-seoul-image-production-s3.mangoplate.com/292438_1521211622538903.jpg,"고기, 돼지고기, 벨리, 스틱, 리드"
180,5to7,,,070-4127-7616,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:30 - 21:00,3.7,6,https://mp-seoul-image-production-s3.mangoplate.com/410567/712762_1599930531168_44042,"수플, 카페, 팬케이크, 에이드, 펄"
181,알고기,,서울시 강남구 청담동 80-17,02-3446-6925,고기 요리,등심(100g),"35,000원","등심(100g):35,000원//안심(100g):37,000원//",17:00 - 23:30,4.3,18,https://mp-seoul-image-production-s3.mangoplate.com/224164/64833_1533458899861_38467,"고기, 설로인, 비수, 구제, 한우"
182,백곰막걸리앤양조장,,서울시 강남구 신사동 657-7,02-540-7644,전통 주점 / 포차,피꼬막무침,24000,"피꼬막무침:24,000원//야들야들 제주 돼지 수육:33,000원//특선 달고기 소금구이:27,000원//매콤보들 닭다리순살구이:24,000원//오징어김치전:22,000원/",월-목: 17:00 - 24:00 금-토: 17:00 - 01:30,4.5,44,https://mp-seoul-image-production-s3.mangoplate.com/262782/532309_1598884333646_26586,"막걸리, 주류, 촌뜨기, 전통, 종류"
183,후엘고,,서울시 마포구 염리동 128-7,02-712-9265,카페 / 디저트,업데이트 준비중입니다.,"6,000원","브루잉:6,000원//에스프레소:4,000원//아메리카노:4,000원//라떼:4,500원//스몰라떼:4,500원//",월-금: 11:00 - 21:00 토-일: 11:00 - 20:00,4.3,14,https://mp-seoul-image-production-s3.mangoplate.com/350253/862279_1598707599473_19031,"커피, 크림, 힐, 관용, 후엘고"
184,누메로도스,,서울시 성동구 성수동1가 656-1021,02-468-7943,이탈리안,까르보나라,"14,000원","까르보나라:14,000원//가지그라탕:14,000원//아마트리치아나:14,000원//마스카포네:15,000원//비스마르크:15,000원//",11:00 - 22:00,4.2,67,https://mp-seoul-image-production-s3.mangoplate.com/359190/980861_1589677216225_18661,"피자, 마스카폰, 바실, 파스타, 가지"
185,할매숯불닭갈비,,서울시 성북구 동선동1가 8,02-928-9993,닭 / 오리 요리,숯불닭갈비,"12,000원","숯불닭갈비:12,000원//소금구이닭갈비:12,000원//뼈 없는 닭발:12,000원//매운쭈꾸미구이:13,000원//스테이크삼겹살:13,000원//",14:00 - 02:00,3.9,24,https://mp-seoul-image-production-s3.mangoplate.com/185975/232742_143614271543833004,"갈비뼈, 배고프고, 숯, 닭, 타기"
186,훔볼트,,서울시 성동구 성수동2가 325-17,02-465-5122,카페 / 디저트,아메리카노,5000,"아메리카노:5,000원/",10:00 - 22:00,3.9,45,https://mp-seoul-image-production-s3.mangoplate.com/336653/62808_1509968792175_12403,"커피, 훔볼트, 팬더, 빵, 베이커리"
187,카페라잌유,,서울시 성동구 성수동1가 656-1017,02-462-1758,카페 / 디저트,크림커피,"4,900원","크림커피:4,900원//아메리카노:4,000원//",화-금: 11:00 - 21:30 토-일: 12:00 - 22:00,3.7,9,https://mp-seoul-image-production-s3.mangoplate.com/1587967_1595854801195722.jpg,"쿠키, 레이크, 티, 유, 코지"
188,카페413프로젝트,,서울시 강남구 역삼동 640-9,070-7798-0544,카페 / 디저트,아메리카노,3900,"아메리카노:3,900원//베니스 샐러드:15,000원//망고플르츠 가든볼:14,300원//아보카도 오렌지 볼:14,300원//연어 아보카도 베네딕트:15,800원/",화-토: 10:30 - 22:00 일: 10:30 - 21:00,4.3,225,https://mp-seoul-image-production-s3.mangoplate.com/67078_1497540642492532.jpg,"브런치, 역삼, 감바스,413, 카페"
189,투고샐러드,,서울시 성동구 행당동 16-53,02-2282-3344,기타 양식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 21:00,3.9,11,https://mp-seoul-image-production-s3.mangoplate.com/789735_1583551716108688.jpg,"샐러드, 야채, 샐러드, 용기, 신선한 것"
190,있을재,,서울시 강남구 신사동 644-7,02-547-0606,이탈리안,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,18:00 - 01:00,4.5,30,https://mp-seoul-image-production-s3.mangoplate.com/389430/113339_1600002611498_51554,"이탈리아, 토토, 베네, 재, 훈"
191,성북동 이안,,서울시 성북구 성북동1가 105-11 1F,02-744-2919,이탈리안,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,"

                      식당 홈페이지로 가기
                    
",3.7,7,https://mp-seoul-image-production-s3.mangoplate.com/346656/840737_1594250126490_26293,"성북,돌산,파스타,가드,루콜라"
192,샐러데이,,서울시 성북구 안암동5가 15-25,02-6093-5449,기타 양식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 07:30 - 21:00 토-일: 10:30 - 20:00,4,34,https://mp-seoul-image-production-s3.mangoplate.com/187676_1440062324344,"샐러드, 신선한, 리코타, 치즈, 야채"
193,리틀빅토리,,서울시 마포구 연남동 381-6,010-4592-1429,카페 / 디저트,업데이트 준비중입니다.,"2,400~3,000원","마카롱:2,400~3,000원//까눌레:2,500원//파운드케익:4,000원//피낭시에:2,500원//다쿠아즈:3,500원//",월요일 13:00 - 20:00,4.4,93,https://mp-seoul-image-production-s3.mangoplate.com/664803_1599373185059484.jpg,"마카롱, 마카롱, 가나쉬, 까마귀, 잼"
194,팜티진,,서울시 성동구 도선동 69 삼성쉐르빌,02-2293-2214,베트남 음식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,10:00 - 21:00,4.3,101,https://mp-seoul-image-production-s3.mangoplate.com/195542/442542_1448971063534_23941,"국수, 쌀, 비에트나메세, 오, 맛있어"
195,리북집,,서울시 강남구 신사동 537-10,02-515-8589,고기 요리,족발(앞발),"37,000원","족발(앞발):37,000원//냉채족발(특미):37,000원//매운족발:33,000원//보쌈:35,000원//냉채해파리 추가:7,000원//",11:30 - 04:30,4.5,60,https://mp-seoul-image-production-s3.mangoplate.com/188084_1441961532224,"포드,망,발,포테이토,포"
196,노란상소갈비,,서울시 강남구 논현동 112-7 1F,02-543-9290,고기 요리,생갈비 (200g),21500,"생갈비 (200g):21,500원//정갈비 (230g):18,500원//이동갈비 (250g):16,500원//한우육회:18,000원//양곰탕:7,000원/","


생갈비 (200g)
21,500원


정갈비 (230g)
18,500원


이동갈비 (250g)
16,500원


한우육회
18,000원


양곰탕
7,000원


",4.7,50,https://mp-seoul-image-production-s3.mangoplate.com/405210/172778_1599522822234_71134,"갈비, 쇠고기, 가족, 슈퍼, 로"
197,라이라이라이,,서울시 성북구 동선동2가 135-12,02-921-1911,베트남 음식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 08:00 - 19:00 토: 11:00 - 19:00,3.7,12,https://mp-seoul-image-production-s3.mangoplate.com/870959_1523170299332968.jpg,"안티, 바게트, 성신, 미국, 대학"
198,배꼽집,,"서울시 마포구 상암동 1597 사보이시티DMC 중앙계단 210호, 206호",02-304-9293,고기 요리,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,11:00 - 22:00,4.3,8,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/460278_1483076758305909.jpg,"평양, 상암, 콜드, 리브스, 브랜치"
199,쿠이신보,,서울시 강남구 신사동 539 대화빌딩,02-546-9215,이자카야 / 오뎅 / 꼬치,참치뱃살 타타키,47000,"참치뱃살 타타키:47,000원//참치등살 타타키:29,000원//연어 사시미:21,000원//시메사바:19,500원//한우우설 숯불구이:14,000원/",월-목: 17:30 - 24:00 금-토: 17:30 - 02:00,4.8,90,https://mp-seoul-image-production-s3.mangoplate.com/832260_1538990876392786.jpg,"쿠이신보, 와라야키, 쿠이, 스트로, 나이트"
200,어니언,,서울시 성동구 성수동2가 277-135,02-1644-1941,카페 / 디저트,플랫화이트,5000,"플랫화이트:5,000원//초콜렛 라떼:6,500원//파인애플 코코넛:6,500원//아보카도 우유:6,000원//어니언 콜라:6,500원/",월-금: 08:00 - 22:00 토-일: 10:00 - 22:00,3.8,177,https://mp-seoul-image-production-s3.mangoplate.com/957883_1596177100765833.jpg,"매머드, 홀리, 충전, 거리, 물"
201,삼창교자,,서울시 강남구 신사동 517-34,02-542-5588,딤섬 / 만두,하이단(우니)교자,"8,000원","하이단(우니)교자:8,000원//하이창(개불)교자:8,000원//뽀우위(전복)교자:9,000원//빠아위(삼치)교자:8,000원//샨베이(가리비)교자:8,000원//",11:30 - 22:30,4.4,73,https://mp-seoul-image-production-s3.mangoplate.com/549779_1598524384972577.jpg,"만두, 교자, 어친, 샤론, 딤"
202,벱,,서울시 성동구 성수동2가 321-21,070-7644-4502,베트남 음식,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,4.3,16,https://mp-seoul-image-production-s3.mangoplate.com/231718_1599218549166694.jpg,"쌀, 누들, 비에트나메세, 해산물, 누들"
203,REVEAT,,서울시 마포구 서교동 481-10 1F,070-7724-1208,프랑스 음식,양파수프,"14,000원","양파수프:14,000원//소고기 채끝등심 10g당:2,000원//거제도 각굴 2p:6,000원//거위간과오리간:25,000원//참광어:21,000원//",18:00 - 03:00,4.4,12,https://mp-seoul-image-production-s3.mangoplate.com/722502_1526179449604559.jpg,"거제, 프랑스, 아일랜드, 바, 와인"
204,퓨전선술집,,서울시 마포구 합정동 383-9,02-335-4764,이자카야 / 오뎅 / 꼬치,메로구이,업데이트 준비중입니다.,메로구이:변동//은대구미소야끼:변동//병어미소야끼:변동//은대구미소야끼:변동//,18:30 - 01:00,4.3,22,https://mp-seoul-image-production-s3.mangoplate.com/586167_1506312315305648.jpg,구운 생선 혼마구 그릴투나
205,커피수공업,,서울시 성북구 안암동2가 118-8,070-8724-9384,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,월-금: 08:00 - 22:00 토: 10:00 - 21:00 일: 11:00 - 21:00,4,12,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/540977_1462257965445935.jpg,"필터, 커피, 트리, 카페, 애넘"
206,램브라튼,,서울시 강남구 신사동 524-28 1F,02-545-4191,스테이크 / 바베큐,양갈비 (230g),28000,"양갈비 (230g):28,000원//프렌치 랙 (200g):29,900원//양등심 (180g):25,000원//레드립 (400g):27,900원//리코타 치즈 샐러드:12,900원/",17:30 - 23:30,4.3,47,https://mp-seoul-image-production-s3.mangoplate.com/188667_1442500748922.jpg,"양, 리브, 프랜치랙, 랙스, 램브라톤"
207,일무레또,,서울시 강남구 신사동 556-12,02-540-0401,이탈리안,"이탈리아 정통 파스타, 피자, 티본스테이크",업데이트 준비중입니다.,"이탈리아 정통 파스타, 피자, 티본스테이크:변동//",11:30 - 22:00,4.4,24,https://mp-seoul-image-production-s3.mangoplate.com/947135_1598330418233548.jpg,"파스타, 트뤼플, 인상, 피자, 이탈리아"
208,미완성식탁,,서울시 마포구 망원동 404-32 1F,"
카페 / 디저트
","카페,디저트",마카롱 (개당),"2,800원","마카롱 (개당):2,800원//","








",4.3,139,https://mp-seoul-image-production-s3.mangoplate.com/233192/894765_1530358117955_101377,"마카롱, 미완성, 마카롱, 데서트, 데서트"
209,미미상회,,서울시 성북구 동선동2가 135-18 1F,070-4409-4224,카페 / 디저트,업데이트 준비중입니다.,업데이트 준비중입니다.,업데이트 준비중입니다.,12:00 - 22:00,3.7,9,https://mp-seoul-image-production-s3.mangoplate.com/785484_1498568039431549.jpg,"챔버, 피치, 그레이프프루트, 상거래, 여보"
210,진진,,서울시 마포구 서교동 469-67 1F,070-5035-8878,정통 중식 / 일반 중식,대게살 볶음,23000,"대게살 볶음:23,000원//멘보샤 (6개):16,500원//오향냉채:17,500원//XO볶음밥:8,300원//물만두:7,000원/",17:00 - 24:00,4.2,79,https://mp-seoul-image-production-s3.mangoplate.com/192651/230933_144400190795522852,"멘보샤, 개발, 진진, 찬폰,렛"
